Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Europe (UN),,1987,,,,9916032,,,,,
Falkland Islands,FLK,1987,,,,29,,,,,
Faroe Islands,FRO,1987,,,,787,,,,,
Fiji,FJI,1987,,20083,20529,22492,14281,,,,21868
Finland,FIN,1987,,60340,59724,60004,56645,,56645,,55414
France,FRA,1987,,655113,662558,761657,335001,,335001,,565780
French Guiana,GUF,1987,,,,2574,,,,,
French Polynesia,PYF,1987,,,,5739,,,,,
Gabon,GAB,1987,,20305,20305,32945,20930,,,,29677
Gambia,GMB,1987,,31094,29265,41716,32191,,,,35484
Georgia,GEO,1987,,,,104166,,,,,
Germany,DEU,1987,,667372,667372,854693,625661,,,,
Ghana,GHA,1987,,229049,218142,561295,278131,,,,376294
Gibraltar,GIB,1987,,,,404,,,,,
Greece,GRC,1987,,95039,112424,108844,93880,,,,84608
Greenland,GRL,1987,,,,1127,,,,,
Grenada,GRD,1987,,2350,2380,2309,2262,,,,
Guadeloupe,GLP,1987,,,,7155,,,,,
Guam,GUM,1987,,,,3241,,,,,
Guatemala,GTM,1987,,47848,53829,316519,71772,,,,101676
Guernsey,GGY,1987,,,,676,,,,,
Guinea,GIN,1987,,32228,34376,243951,60159,,,,58010
Guinea-Bissau,GNB,1987,,19910,19910,39516,24616,,,,29684
Guyana,GUY,1987,,13120,15078,20655,10183,,,,13512
Haiti,HTI,1987,,61277,61277,229689,50335,,,,157570
High-income countries,,1987,,,,14110389,,,,,
Honduras,HND,1987,,97424,102464,173464,95745,,,,110862
Hong Kong,HKG,1987,,,,73522,,,,,
Hungary,HUN,1987,,124965,124965,124823,124965,,,,124965
Iceland,ISL,1987,,3863,3863,4004,3785,,3785,,
India,IND,1987,,7280389,6552350,25925492,5824311,,,,5581632
Indonesia,IDN,1987,,2206500,2162370,4548720,2118240,,,,3000840
Iran,IRN,1987,,1055593,1074112,1997573,1018555,,,,1037074
Iraq,IRQ,1987,,552793,558674,610153,535151,,,,582197
Ireland,IRL,1987,,26651,47245,59227,39976,,39976,,49062
Isle of Man,IMN,1987,,,,770,,,,,
Israel,ISR,1987,,90400,91383,95644,86470,,,,
Italy,ITA,1987,,,459528,547649,,,,,
Jamaica,JAM,1987,,50947,51576,60422,38997,,,,57866
Japan,JPN,1987,,1148989,1284164,1313370,1013814,,,,1148989
Jersey,JEY,1987,,,,946,,,,,
Jordan,JOR,1987,,100111,98998,116963,96774,,,,
Kazakhstan,KAZ,1987,,,,429178,,,,,
Kenya,KEN,1987,,663015,663015,896571,594130,,,,740510
Kiribati,KIR,1987,,848,118,2519,330,,,,1602
Kosovo,OWID_KOS,1987,,,,55599,,,,,
Kuwait,KWT,1987,,52079,52645,55190,53778,,,,
Kyrgyzstan,KGZ,1987,,,,134620,,,,,
Land-locked developing countries (LLDC),,1987,,,,9808025,,,,,
Laos,LAO,1987,,14344,14344,155040,15778,,,,21516
Latin America and the Caribbean (UN),,1987,,,,11466431,,,,,
Latvia,LVA,1987,,,,41806,,,,,
Least developed countries,,1987,,,,19332394,,,,,
Lebanon,LBN,1987,,42866,42866,94827,36343,,,,
Lesotho,LSO,1987,,43907,43351,60776,43351,,,,46686
Less developed regions,,1987,,,,117514952,,,,,
"Less developed regions, excluding China",,1987,,,,91205736,,,,,
"Less developed regions, excluding least developed countries",,1987,,,,98182552,,,,,
Liberia,LBR,1987,,,,97906,,,,,
Libya,LBY,1987,,99744,99744,125088,91229,,,,115557
Liechtenstein,LIE,1987,,,,371,,,,,
Lithuania,LTU,1987,,,,59225,,,,,
Low-income countries,,1987,,,,11383119,,,,,
Lower-middle-income countries,,1987,,,,57851376,,,,,
Luxembourg,LUX,1987,,4085,3870,4271,3311,,,,
Macao,MAC,1987,,,,6732,,,,,
Madagascar,MDG,1987,,141529,137485,444865,113223,,,,218359
Malawi,MWI,1987,,255016,255016,362778,258285,,,,300788
Malaysia,MYS,1987,,314733,310172,474163,310172,,,,447012
Maldives,MDV,1987,,3511,3511,8703,3428,,,,5183
Mali,MLI,1987,,26777,26777,380501,36819,,,,170706
Malta,MLT,1987,,4648,4648,5439,3152,,3152,,4220
Marshall Islands,MHL,1987,,,601,1788,564,,,,
Martinique,MTQ,1987,,,,6348,,,,,
Mauritania,MRT,1987,,20198,6733,69883,18178,,,,51841
Mauritius,MUS,1987,,17313,19787,20849,14222,,,,17932
Mayotte,MYT,1987,,,,3285,,,,,
Mexico,MEX,1987,,1374074,2149762,2301491,1196774,,,,1573537
Micronesia (country),FSM,1987,,1791,1760,3406,2168,,2168,,
Moldova,MDA,1987,,,,91963,,,,,
Monaco,MCO,1987,,,,294,,,,,
Mongolia,MNG,1987,,53951,57998,72320,41138,,,,40463
Montenegro,MNE,1987,,,,10469,,,,,
Montserrat,MSR,1987,,,,209,,,,,
More developed regions,,1987,,,,15731141,,,,,
Morocco,MAR,1987,,608087,586625,716962,522239,,,,658164
Mozambique,MOZ,1987,,187135,182337,551018,177539,,,,249514
Myanmar,MMR,1987,,237618,103312,1042564,175631,,,,557886
Namibia,NAM,1987,,,,42346,,,,,
Nauru,NRU,1987,,148,148,306,,,,,251
Nepal,NPL,1987,,281059,262729,651481,226069,,,,378818
Netherlands,NLD,1987,,175545,175545,187172,168306,,168306,,
New Caledonia,NCL,1987,,,,3939,,,,,
New Zealand,NZL,1987,,34810,38447,53918,34810,,34810,,
Nicaragua,NIC,1987,,71006,137836,143484,65437,,,,130874
Niger,NER,1987,,23246,23246,381940,89663,,,,92984
Nigeria,NGA,1987,,948321,915620,3671221,1177226,,,,1536934
Niue,NIU,1987,,66,66,58,63,,63,,66
North Korea,PRK,1987,,333204,271213,398160,135606,,,,267338
North Macedonia,MKD,1987,,,,37296,,,,,
Northern America (UN),,1987,,,,4204751,,,,,
Northern Mariana Islands,MNP,1987,,,,839,,,,,
Norway,NOR,1987,,41513,41513,53084,45145,,45145,,
Oceania (UN),,1987,,,,497940,,,,,
Oman,OMN,1987,,54479,54479,60996,52642,,,,59376
Pakistan,PAK,1987,,1380748,1380748,4214297,1649227,,,,2761497
Palau,PLW,1987,,255,309,309,309,,,,
Palestine,PSE,1987,,,,81170,,,,,
Panama,PAN,1987,,44610,45850,62815,48328,,,,55763
Papua New Guinea,PNG,1987,,53196,55614,128067,44733,,,,89467
Paraguay,PRY,1987,,72083,100668,128554,69597,,,,82025
Peru,PER,1987,,267602,280049,643500,348505,,,,379622
Philippines,PHL,1987,,1293114,1293114,1988793,1203315,,,,1616393
Poland,POL,1987,,617502,617502,611273,604637,,,,611069
Portugal,PRT,1987,,102763,100287,122165,100287,,100287,,96573
Puerto Rico,PRI,1987,,,,63672,,,,,
Qatar,QAT,1987,,6327,7557,9261,5272,,,,7469
Reunion,REU,1987,,,,12241,,,,,
Romania,ROU,1987,,313035,306230,352084,306230,,,,323242
Russia,RUS,1987,,,,2486390,,,,,
Rwanda,RWA,1987,,245651,240068,299865,217736,,,,256817
Saint Barthelemy,BLM,1987,,,,85,,,,,
Saint Helena,SHN,1987,,,,121,,,,,
Saint Kitts and Nevis,KNA,1987,,930,950,956,882,,882,,
Saint Lucia,LCA,1987,,3482,3523,4102,3318,,3318,,3645
Saint Martin (French part),MAF,1987,,,,616,,,,,
Saint Pierre and Miquelon,SPM,1987,,,,91,,,,,
Saint Vincent and the Grenadines,VCT,1987,,2713,2685,2711,2545,,,,2517
Samoa,WSM,1987,,4845,4845,5663,4064,,,,5106
San Marino,SMR,1987,,213,213,226,,,,,
Sao Tome and Principe,STP,1987,,2850,2850,4309,2732,,,,3484
Saudi Arabia,SAU,1987,,432270,432270,365988,373987,,,,441984
Senegal,SEN,1987,,152345,149672,289171,176400,,,,245890
Serbia,SRB,1987,,,,97501,,,,,
Seychelles,SYC,1987,,1447,1447,1671,1545,,1545,,1528
Sierra Leone,SLE,1987,,,,156798,,,,,
Singapore,SGP,1987,,43860,43404,42587,42947,,,,44774
Sint Maarten (Dutch part),SXM,1987,,,,543,,,,,
Slovakia,SVK,1987,,,,84303,,,,,
Slovenia,SVN,1987,,,,25313,,,,,
Small island developing states (SIDS),,1987,,,,1221929,,,,,
Solomon Islands,SLB,1987,,7073,4394,11564,6215,,,,7073
Somalia,SOM,1987,,72624,72624,323778,81339,,,,95864
South Africa,ZAF,1987,,850270,885698,1185765,885698,,,,755796
South Korea,KOR,1987,,390534,637187,685886,561821,,561821,,369979
South Sudan,SSD,1987,,,,221853,,,,,
Spain,ESP,1987,,339100,361119,432661,374331,,374331,,
Sri Lanka,LKA,1987,,273820,280933,326861,213367,,,,270264
Sudan,SDN,1987,,214641,214641,851273,174893,,,,341835
Suriname,SUR,1987,,8173,8058,12224,8058,,,,
Sweden,SWE,1987,,100160,100160,103064,95102,,95102,,14164
Switzerland,CHE,1987,,67030,72244,75785,52135,,52135,,
Syria,SYR,1987,,176488,176488,442080,155477,,,,298348
Taiwan,TWN,1987,,,,330771,,,,,
Tajikistan,TJK,1987,,,,203457,,,,,
Tanzania,TZA,1987,,730439,739685,976299,721193,,,,869130
Thailand,THA,1987,,807793,764710,1055094,560070,,,,1001663
Togo,TGO,1987,,80350,79033,145463,97474,,,,125136
Tokelau,TKL,1987,,,,52,,,,,
Tonga,TON,1987,,2868,2520,3163,2549,,,,2694
Trinidad and Tobago,TTO,1987,,25086,25404,30482,21593,,21593,,
Tunisia,TUN,1987,,192171,192171,225651,185308,,,,212761
Turkey,TUR,1987,,1149485,1149485,1424049,895529,,,,1162851
Turkmenistan,TKM,1987,,,,125960,,,,,
Turks and Caicos Islands,TCA,1987,,,,259,,,,,
Tuvalu,TUV,1987,,167,167,278,184,,,,243
Uganda,UGA,1987,,199836,199836,733860,253125,,,,406333
Ukraine,UKR,1987,,,,786247,,,,,
United Arab Emirates,ARE,1987,,33058,33058,42949,29339,,29339,,38016
United Kingdom,GBR,1987,,545038,649566,760273,567437,,567437,,
United States,USA,1987,,3438586,3438586,3831128,2906846,,2906846,,
United States Virgin Islands,VIR,1987,,,,2090,,,,,
Upper-middle-income countries,,1987,,,,49341032,,,,,
Uruguay,URY,1987,,44638,44638,53024,46213,,46213,,51465
Uzbekistan,UZB,1987,,,,650457,,,,,
Vanuatu,VUT,1987,,2829,2678,5322,1718,,,,3991
Vatican,VAT,1987,,,,6,,,,,
Venezuela,VEN,1987,,300458,321543,544870,284645,,,,332086
Vietnam,VNM,1987,,914965,823468,1762838,658775,,,,1079659
Wallis and Futuna,WLF,1987,,,,371,,,,,
Western Sahara,ESH,1987,,,,6436,,,,,
World,OWID_WRL,1987,0,69324116,71844993,133246096,66803239,,6302192,,76886747
Yemen,YEM,1987,,95326,95326,597461,116510,,,,158877
Zambia,ZMB,1987,,238106,232369,311950,229500,,,,278269
Zimbabwe,ZWE,1987,,287192,294030,351107,300868,,,,321381
Afghanistan,AFG,1988,,148133,148133,529359,143901,,,,169295
Africa (UN),,1988,,,,24097790,,,,,
Albania,ALB,1988,,76839,76839,81413,76839,,,,73638
Algeria,DZA,1988,,676352,676352,762634,644523,,,,763880
American Samoa,ASM,1988,,,,1450,,,,,
Americas (UN),,1988,,,,15781506,,,,,
Andorra,AND,1988,,,,400,,,,,
Angola,AGO,1988,,55431,60050,488877,258676,,,,147815
Anguilla,AIA,1988,,,,183,,,,,
Antigua and Barbuda,ATG,1988,,1252,1265,1266,1214,,1214,,
Argentina,ARG,1988,,537772,604994,684664,584827,,,,611716
Armenia,ARM,1988,,,,82070,,,,,
Aruba,ABW,1988,,,,1247,,,,,
Asia (UN),,1988,,,,83977280,,,,,
Australia,AUS,1988,,215013,232116,246827,188136,,188136,,
Austria,AUT,1988,,78222,78222,87058,52148,,52148,,78222
Azerbaijan,AZE,1988,,,,195349,,,,,
Bahamas,BHS,1988,,5018,4959,5646,4605,,,,
Bahrain,BHR,1988,,13071,13071,13681,10620,,10620,,
Bangladesh,BGD,1988,,540911,540911,3668800,439490,,,,878981
Barbados,BRB,1988,,3050,2929,3983,3371,,3371,,
Belarus,BLR,1988,,,,162284,,,,,
Belgium,BEL,1988,,94320,112005,117725,88425,,88425,,
Belize,BLZ,1988,,3601,3720,6202,3483,,,,5018
Benin,BEN,1988,,56127,56127,212145,56127,,,,93544
Bermuda,BMU,1988,,,,806,,,,,
Bhutan,BTN,1988,,12474,12474,20558,11405,,,,13009
Bolivia,BOL,1988,,60779,86827,232161,125899,,,,121558
Bonaire Sint Eustatius and Saba,BES,1988,,,,252,,,,,
Bosnia and Herzegovina,BIH,1988,,,,71920,,,,,
Botswana,BWA,1988,,38834,39276,43013,38393,,,,41924
Brazil,BRA,1988,,2128870,2092165,3666438,2275688,,,,2716144
British Virgin Islands,VGB,1988,,,,306,,,,,
Brunei,BRN,1988,,6435,6435,6906,7158,,7158,,6146
Bulgaria,BGR,1988,,113928,113928,115400,113928,,,,113928
Burkina Faso,BFA,1988,,119063,119063,379464,182096,,,,245130
Burundi,BDI,1988,,109559,109559,235691,98818,,,,116004
Cambodia,KHM,1988,,155863,155863,308281,135082,,,,200891
Cameroon,CMR,1988,,209350,213537,438990,200976,,,,297277
Canada,CAN,1988,,319542,323257,374822,315826,,315826,,
Cape Verde,CPV,1988,,11444,11053,14047,10403,,,,12874
Cayman Islands,CYM,1988,,,,409,,,,,
Central African Republic,CAF,1988,,43778,43778,118077,41694,,,,55244
Chad,TCD,1988,,31104,31104,258157,37769,,,,84426
Chile,CHL,1988,,267304,267304,284986,264520,,,,272873
China,CHN,1988,,24423620,24680711,26094306,24423620,,,,25194893
Colombia,COL,1988,,617352,784204,819779,617352,,,,825917
Comoros,COM,1988,,6620,6774,17530,6158,,,,11084
Congo,COG,1988,,57820,57017,83269,58623,,,,70668
Cook Islands,COK,1988,,409,409,467,400,,,,392
Costa Rica,CRI,1988,,72306,72306,82957,80617,,80617,,71475
Cote d'Ivoire,CIV,1988,,131829,136082,487606,131829,,,,221133
Croatia,HRV,1988,,,,59018,,,,,
Cuba,CUB,1988,,168886,168886,181036,153376,,153376,,170610
Curacao,CUW,1988,,,,3187,,,,,
Cyprus,CYP,1988,,12835,12835,14435,10553,,10553,,
Czechia,CZE,1988,,,,130261,,,,,
Democratic Republic of Congo,COD,1988,,538233,538233,1455279,577616,,,,774531
Denmark,DNK,1988,,48539,55234,57492,40170,,40170,,
Djibouti,DJI,1988,,10995,10995,17878,11502,,,,14716
Dominica,DMA,1988,,1508,1524,1615,1414,,,,1540
Dominican Republic,DOM,1988,,135000,127174,202374,56739,,,,117391
East Timor,TLS,1988,,,,30956,,,,,
Ecuador,ECU,1988,,156384,167968,291101,153488,,,,266432
Egypt,EGY,1988,,1541644,1577084,1875478,1506204,,,,1417604
El Salvador,SLV,1988,,102015,102015,170929,102015,,,,90680
Equatorial Guinea,GNQ,1988,,3129,1812,18573,7577,,,,8071
Eritrea,ERI,1988,,,,79124,,,,,
Estonia,EST,1988,,,,24713,,,,,
Eswatini,SWZ,1988,,27472,27472,32321,26237,,,,29324
Ethiopia,ETH,1988,,293542,293542,2033566,275196,,,,495352
Europe (UN),,1988,,,,9779521,,,,,
Falkland Islands,FLK,1988,,,,29,,,,,
Faroe Islands,FRO,1988,,,,831,,,,,
Fiji,FJI,1988,,21794,22017,22464,15345,,,,22017
Finland,FIN,1988,,59468,59468,61194,58868,,58868,,59468
France,FRA,1988,,588056,602944,758873,379631,,379631,,558281
French Guiana,GUF,1988,,,,2749,,,,,
French Polynesia,PYF,1988,,,,5849,,,,,
Gabon,GAB,1988,,23120,23120,33784,21835,,,,30505
Gambia,GMB,1988,,31240,33525,43192,30478,,,,36573
Georgia,GEO,1988,,,,102520,,,,,
Germany,DEU,1988,,691703,691703,878688,648472,,,,
Ghana,GHA,1988,,259700,248649,567315,326006,,,,386787
Gibraltar,GIB,1988,,,,393,,,,,
Greece,GRC,1988,,93167,110004,106124,92044,,,,86432
Greenland,GRL,1988,,,,1144,,,,,
Grenada,GRD,1988,,1957,1927,2333,1445,,,,
Guadeloupe,GLP,1988,,,,7196,,,,,
Guam,GUM,1988,,,,3330,,,,,
Guatemala,GTM,1988,,144147,177883,325700,168682,,,,125745
Guernsey,GGY,1988,,,,695,,,,,
Guinea,GIN,1988,,35506,35506,250775,59916,,,,68792
Guinea-Bissau,GNB,1988,,24062,25521,39859,18958,,,,32448
Guyana,GUY,1988,,12416,13386,20491,10670,,,,12416
Haiti,HTI,1988,,107260,107260,234285,131840,,,,147482
High-income countries,,1988,,,,14129734,,,,,
Honduras,HND,1988,,126420,119587,176073,129837,,,,109336
Hong Kong,HKG,1988,,,,72728,,,,,
Hungary,HUN,1988,,123086,123086,123091,123086,,,,123086
Iceland,ISL,1988,,4018,4018,4394,4018,,4018,,
India,IND,1988,,9821876,9085235,26061034,7857501,,,,5647579
Indonesia,IDN,1988,,2364430,2320644,4569542,2233073,,,,3065002
Iran,IRN,1988,,1610370,1610370,1972594,1518872,,,,1610370
Iraq,IRQ,1988,,520196,544114,625833,508238,,,,585968
Ireland,IRL,1988,,25431,42582,56166,40217,,40217,,48496
Isle of Man,IMN,1988,,,,804,,,,,
Israel,ISR,1988,,89781,91733,96176,83926,,,,
Italy,ITA,1988,,,470155,567319,,,,,
Jamaica,JAM,1988,,51302,51927,59993,42543,,,,60060
Japan,JPN,1988,,1133888,1239366,1277056,1002040,,,,1120703
Jersey,JEY,1988,,,,969,,,,,
Jordan,JOR,1988,,106971,105821,120443,100070,,,,
Kazakhstan,KAZ,1988,,,,420179,,,,,
Kenya,KEN,1988,,726193,726193,918271,637633,,,,797041
Kiribati,KIR,1988,,1516,1492,2563,1300,,,,2359
Kosovo,OWID_KOS,1988,,,,57511,,,,,
Kuwait,KWT,1988,,51817,51817,54422,53470,,,,
Kyrgyzstan,KGZ,1988,,,,133946,,,,,
Land-locked developing countries (LLDC),,1988,,,,10004929,,,,,
Laos,LAO,1988,,25094,25094,159292,33951,,,,39856
Latin America and the Caribbean (UN),,1988,,,,11499873,,,,,
Latvia,LVA,1988,,,,41541,,,,,
Least developed countries,,1988,,,,19648356,,,,,
Lebanon,LBN,1988,,58795,57862,95971,44796,,,,
Lesotho,LSO,1988,,45282,44716,61716,44716,,,,48678
Less developed regions,,1988,,,,118502072,,,,,
"Less developed regions, excluding China",,1988,,,,91991304,,,,,
"Less developed regions, excluding least developed countries",,1988,,,,98853720,,,,,
Liberia,LBR,1988,,,,99597,,,,,
Libya,LBY,1988,,103183,103183,123188,93356,,,,113010
Liechtenstein,LIE,1988,,,,393,,,,,
Lithuania,LTU,1988,,,,57856,,,,,
Low-income countries,,1988,,,,11664250,,,,,
Lower-middle-income countries,,1988,,,,58279696,,,,,
Luxembourg,LUX,1988,,3978,3978,4440,3138,,,,
Macao,MAC,1988,,,,6905,,,,,
Madagascar,MDG,1988,,175305,171132,457392,150262,,,,292176
Malawi,MWI,1988,,278442,244485,381586,278442,,,,305607
Malaysia,MYS,1988,,313959,309342,474974,281639,,,,457087
Maldives,MDV,1988,,7209,7209,8598,6957,,,,8214
Mali,MLI,1988,,61151,61151,385529,78138,,,,217427
Malta,MLT,1988,,4660,4231,5410,2196,,2196,,3589
Marshall Islands,MHL,1988,,1695,682,1778,460,,,,
Martinique,MTQ,1988,,,,6447,,,,,
Mauritania,MRT,1988,,19249,19937,71535,30936,,,,54310
Mauritius,MUS,1988,,17578,17782,20890,14920,,,,17986
Mayotte,MYT,1988,,,,3497,,,,,
Mexico,MEX,1988,,1332476,2109754,2314433,1554556,,,,1598972
Micronesia (country),FSM,1988,,2691,2248,3434,2659,,2659,,
Moldova,MDA,1988,,,,89927,,,,,
Monaco,MCO,1988,,265,265,275,265,,265,,265
Mongolia,MNG,1988,,56392,59831,73624,48140,,,,53641
Montenegro,MNE,1988,,,,10448,,,,,
Montserrat,MSR,1988,,,,200,,,,,
More developed regions,,1988,,,,15640824,,,,,
Morocco,MAR,1988,,579760,579760,708591,572689,,,,650462
Mozambique,MOZ,1988,,182646,182646,544954,211485,,,,235517
Myanmar,MMR,1988,,284630,223638,1020233,325292,,,,609922
Namibia,NAM,1988,,,,44120,,,,,
Nauru,NRU,1988,,193,193,317,,,,,274
Nepal,NPL,1988,,280563,268093,663702,361614,,,,411492
Netherlands,NLD,1988,,179602,179602,188602,174048,,174048,,
New Caledonia,NCL,1988,,,,4060,,,,,
New Zealand,NZL,1988,,36720,39914,55786,39914,,39914,,
Nicaragua,NIC,1988,,66018,127822,144464,88492,,,,127822
Niger,NER,1988,,30591,30591,391522,81576,,,,91773
Nigeria,NGA,1988,,1193115,1193115,3746518,1524536,,,,1789673
Niue,NIU,1988,,60,60,57,57,,57,,60
North Korea,PRK,1988,,340165,226777,402269,226777,,,,383174
North Macedonia,MKD,1988,,,,37726,,,,,
Northern America (UN),,1988,,,,4281633,,,,,
Northern Mariana Islands,MNP,1988,,,,879,,,,,
Norway,NOR,1988,,44327,44861,55580,46463,,46463,,
Oceania (UN),,1988,,,,506795,,,,,
Oman,OMN,1988,,55301,55301,61013,53458,,,,58988
Pakistan,PAK,1988,,1512979,1512979,4345791,1831501,,,,3065773
Palau,PLW,1988,,305,305,311,305,,,,
Palestine,PSE,1988,,,,85697,,,,,
Panama,PAN,1988,,46848,43725,63130,45599,,,,57467
Papua New Guinea,PNG,1988,,59291,59291,130446,56820,,,,98818
Paraguay,PRY,1988,,70956,88696,130901,79826,,,,70956
Peru,PER,1988,,377053,383337,648349,326779,,,,439895
Philippines,PHL,1988,,1443016,1424750,2028371,1406484,,,,1735272
Poland,POL,1988,,576896,576896,564782,570886,,570886,,570886
Portugal,PRT,1988,,96754,96754,119602,100338,,100338,,102727
Puerto Rico,PRI,1988,,,,64021,,,,,
Qatar,QAT,1988,,6612,6612,9457,6996,,,,8146
Reunion,REU,1988,,,,12244,,,,,
Romania,ROU,1988,,335045,321085,353118,272224,,,,324575
Russia,RUS,1988,,,,2419452,,,,,
Rwanda,RWA,1988,,227989,222289,302046,225139,,,,259337
Saint Barthelemy,BLM,1988,,,,87,,,,,
Saint Helena,SHN,1988,,,,121,,,,,
Saint Kitts and Nevis,KNA,1988,,894,884,939,732,,732,,713
Saint Lucia,LCA,1988,,3160,3524,3934,3362,,3362,,3443
Saint Martin (French part),MAF,1988,,,,681,,,,,
Saint Pierre and Miquelon,SPM,1988,,,,80,,,,,
Saint Vincent and the Grenadines,VCT,1988,,2659,2632,2649,2632,,,,2577
Samoa,WSM,1988,,4641,4641,5471,3868,,,,5002
San Marino,SMR,1988,,221,221,229,,,,,
Sao Tome and Principe,STP,1988,,3135,2932,4431,2810,,,,3583
Saudi Arabia,SAU,1988,,444672,444672,376208,404702,,,,464658
Senegal,SEN,1988,,160210,157494,292037,162925,,,,247103
Serbia,SRB,1988,,,,96381,,,,,
Seychelles,SYC,1988,,1520,1520,1678,1439,,1439,,1520
Sierra Leone,SLE,1988,,,,160891,,,,,
Singapore,SGP,1988,,41970,41970,47483,40571,,,,46167
Sint Maarten (Dutch part),SXM,1988,,,,594,,,,,
Slovakia,SVK,1988,,,,82386,,,,,
Slovenia,SVN,1988,,,,25338,,,,,
Small island developing states (SIDS),,1988,,,,1244226,,,,,
Solomon Islands,SLB,1988,,7576,6917,12094,7576,,,,8673
Somalia,SOM,1988,,75858,75858,324952,96281,,,,113786
South Africa,ZAF,1988,,862226,862226,1185368,837591,,,,677464
South Korea,KOR,1988,,399286,626466,683450,481897,,481897,,392402
South Sudan,SSD,1988,,,,199078,,,,,
Spain,ESP,1988,,395084,399333,422707,356850,,356850,,
Sri Lanka,LKA,1988,,289790,296772,322357,237418,,,,282807
Sudan,SDN,1988,,316404,324314,865407,348044,,,,427145
Suriname,SUR,1988,,7465,8281,12278,9681,,,,
Sweden,SWE,1988,,103409,103409,108174,99231,,99231,,14624
Switzerland,CHE,1988,,67910,71683,77857,52819,,52819,,
Syria,SYR,1988,,252461,252461,449094,222508,,,,372273
Taiwan,TWN,1988,,,,336831,,,,,
Tajikistan,TJK,1988,,,,211242,,,,,
Tanzania,TZA,1988,,801615,773322,998593,782753,,,,877061
Thailand,THA,1988,,853369,853369,1048222,672028,,,,970707
Togo,TGO,1988,,72945,72945,148719,83751,,,,122926
Tokelau,TKL,1988,,,,53,,,,,
Tonga,TON,1988,,2657,2657,3111,2339,,,,2744
Trinidad and Tobago,TTO,1988,,25140,25447,29133,22074,,22074,,
Tunisia,TUN,1988,,207004,207004,220130,197905,,,,216103
Turkey,TUR,1988,,1149623,1149623,1421220,1096152,,,,1296668
Turkmenistan,TKM,1988,,,,126510,,,,,
Turks and Caicos Islands,TCA,1988,,,,266,,,,,
Tuvalu,TUV,1988,,256,262,275,259,,,,274
Uganda,UGA,1988,,264398,264398,762987,340935,,,,487050
Ukraine,UKR,1988,,,,770639,,,,,
United Arab Emirates,ARE,1988,,35512,35512,43599,32047,,32047,,40276
United Kingdom,GBR,1988,,567840,658694,721920,605696,,605696,,
United States,USA,1988,,3469134,3469134,3904782,3504898,,3504898,,
United States Virgin Islands,VIR,1988,,,,1974,,,,,
Upper-middle-income countries,,1988,,,,49502020,,,,,
Uruguay,URY,1988,,42914,42914,53877,37680,,37680,,51287
Uzbekistan,UZB,1988,,,,646393,,,,,
Vanuatu,VUT,1988,,2999,2999,5411,2379,,,,3775
Vatican,VAT,1988,,,,5,,,,,
Venezuela,VEN,1988,,301426,398313,551947,274513,,,,409078
Vietnam,VNM,1988,,1282117,989062,1741147,1025694,,,,1446961
Wallis and Futuna,WLF,1988,,,,363,,,,,
Western Sahara,ESH,1988,,,,6325,,,,,
World,OWID_WRL,1988,0,81090909,82378066,134142888,79803751,,7722944,,84952380
Yemen,YEM,1988,,197471,197471,616460,186500,,,,285236
Zambia,ZMB,1988,,243941,238063,319472,235124,,,,285088
Zimbabwe,ZWE,1988,,289271,296078,347767,299481,,,,302884
Afghanistan,AFG,1989,,144966,144966,549532,96644,,,,166931
Africa (UN),,1989,,,,24523194,,,,,
Albania,ALB,1989,,75126,76724,83898,76724,,,,75126
Algeria,DZA,1989,,683725,683725,752351,644431,,,,754455
American Samoa,ASM,1989,,,,1510,,,,,
Americas (UN),,1989,,,,15916734,,,,,
Andorra,AND,1989,,,,459,,,,,
Angola,AGO,1989,,85835,90603,505128,228892,,,,224124
Anguilla,AIA,1989,,,,188,,,,,
Antigua and Barbuda,ATG,1989,,1263,1263,1283,1212,,1212,,
Argentina,ARG,1989,,542277,582948,692431,603283,,,,623618
Armenia,ARM,1989,,,,81475,,,,,
Aruba,ABW,1989,,,,1236,,,,,
Asia (UN),,1989,,,,84191504,,,,,
Australia,AUS,1989,,230445,235401,251592,210622,,210622,,
Austria,AUT,1989,,79078,79078,88328,52719,,52719,,79078
Azerbaijan,AZE,1989,,,,200756,,,,,
Bahamas,BHS,1989,,5141,4902,5805,5201,,,,
Bahrain,BHR,1989,,13309,13309,13896,11784,,11784,,
Bangladesh,BGD,1989,,1648302,1648302,3656315,1782857,,,,1883773
Barbados,BRB,1989,,3050,3128,3989,3324,,3324,,
Belarus,BLR,1989,,,,158947,,,,,
Belgium,BEL,1989,,111909,113099,119623,89289,,89289,,
Belize,BLZ,1989,,4715,4416,6321,4237,,,,5431
Benin,BEN,1989,,92386,92386,216878,92386,,,,144353
Bermuda,BMU,1989,,,,817,,,,,
Bhutan,BTN,1989,,13773,13773,20840,14316,,,,16853
Bolivia,BOL,1989,,114793,112585,235502,130245,,,,141283
