Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Jamaica,JAM,1980,,14277,20225,58696,,,,,22605
Japan,JPN,1980,,983444,,1625248,1130960,,,,
Jersey,JEY,1980,,,,849,,,,,
Jordan,JOR,1980,,26522,28290,93263,25638,,,,
Kazakhstan,KAZ,1980,,,,379200,,,,,
Kenya,KEN,1980,,,,722194,,,,,
Kiribati,KIR,1980,,823,192,2110,,,,,1264
Kosovo,OWID_KOS,1980,,,,49161,,,,,
Kuwait,KWT,1980,,33470,34968,50182,23978,,,,
Kyrgyzstan,KGZ,1980,,,,109034,,,,,
Land-locked developing countries (LLDC),,1980,,,,8295593,,,,,
Laos,LAO,1980,,,,128401,,,,,
Latin America and the Caribbean (UN),,1980,,,,11008307,,,,,
Latvia,LVA,1980,,,,34953,,,,,
Least developed countries,,1980,,,,16805644,,,,,
Lebanon,LBN,1980,,,,88216,,,,,
Lesotho,LSO,1980,,27107,27107,52492,23719,,,,39209
Less developed regions,,1980,,,,102971728,,,,,
"Less developed regions, excluding China",,1980,,,,81881520,,,,,
"Less developed regions, excluding least developed countries",,1980,,,,86166088,,,,,
Liberia,LBR,1980,,,,82575,,,,,
Libya,LBY,1980,,63512,63512,144624,64570,,,,93151
Liechtenstein,LIE,1980,,,,361,,,,,
Lithuania,LTU,1980,,,,51263,,,,,
Low-income countries,,1980,,,,9583494,,,,,
Lower-middle-income countries,,1980,,,,50962052,,,,,
Luxembourg,LUX,1980,,,,4170,,,,,
Macao,MAC,1980,,,,2901,,,,,
Madagascar,MDG,1980,,,,388299,,,,,73583
Malawi,MWI,1980,,148999,71931,291530,125879,,,,
Malaysia,MYS,1980,,258200,258200,385322,,,,,362251
Maldives,MDV,1980,,256,256,7075,,,,,448
Mali,MLI,1980,,,,340103,,,,,
Malta,MLT,1980,,,,5774,,,,,
Marshall Islands,MHL,1980,,,,1456,,,,,
Martinique,MTQ,1980,,,,5409,,,,,
Mauritania,MRT,1980,,,,59603,,,,,
Mauritius,MUS,1980,,20436,20666,23262,,,,,20436
Mayotte,MYT,1980,,,,2252,,,,,
Mexico,MEX,1980,,980397,2027638,2260941,779861,,,,1069524
Micronesia (country),FSM,1980,,,,3105,,,,,
Moldova,MDA,1980,,,,83544,,,,,
Monaco,MCO,1980,,,,244,,,,,
Mongolia,MNG,1980,,42757,48383,61078,9564,,,,28692
Montenegro,MNE,1980,,,,11450,,,,,
Montserrat,MSR,1980,,,,179,,,,,
More developed regions,,1980,,,,15968978,,,,,
Morocco,MAR,1980,,,,707909,,,,,
Mozambique,MOZ,1980,,,,519947,,,,,
Myanmar,MMR,1980,,39536,,1026102,,,,,88956
Namibia,NAM,1980,,,,37466,,,,,
Nauru,NRU,1980,,,,206,,,,,
Nepal,NPL,1980,,41649,,566703,,,,,114535
Netherlands,NLD,1980,,168194,168194,177845,159434,,159434,,
New Caledonia,NCL,1980,,,,4037,,,,,
New Zealand,NZL,1980,,38546,,50840,40574,,40574,,
Nicaragua,NIC,1980,,20169,26472,132544,18908,,,,42859
Niger,NER,1980,,,,312503,,,,,
Nigeria,NGA,1980,,,,3242503,,,,,
Niue,NIU,1980,,7,77,72,78,,78,,86
North Korea,PRK,1980,,174619,174619,354594,101279,,,,174619
North Macedonia,MKD,1980,,,,38630,,,,,
Northern America (UN),,1980,,,,4027936,,,,,
Northern Mariana Islands,MNP,1980,,,,521,,,,,
Norway,NOR,1980,,,,51003,,,,,
Oceania (UN),,1980,,,,452805,,,,,
Oman,OMN,1980,,8102,8102,47481,9902,,,,22956
Pakistan,PAK,1980,,56891,56891,3236552,28445,,,,170672
Palau,PLW,1980,,,,259,,,,,
Palestine,PSE,1980,,,,64519,,,,,
Panama,PAN,1980,,26405,39326,57390,39888,,,,55618
Papua New Guinea,PNG,1980,,33644,30490,112380,,,,,65186
Paraguay,PRY,1980,,16751,13795,103713,18722,,,,30546
